# 0.3.0 golden corpus - kernel Select (SqueakPoolRegistry). Lines: scenario|mode|domain|action|seed|gate|soundKey|tier|poolStableKey; '-' = none.
# Rebuilt by tools/KernelCharacterization; scenarios frozen in Scenarios.cs. Any delta on replay = regression.
S1-empty|Off|Ratkin|Call|1|all|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|1|partial|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|2|all|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|2|partial|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|3|all|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Call|3|partial|SR_Call|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|1|all|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|1|partial|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|2|all|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|2|partial|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|3|all|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Eat|3|partial|SR_Eat|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|1|all|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|1|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|2|all|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|2|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|3|all|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Sleep|3|partial|SR_Sleep|BuiltInFallback|-
S1-empty|Off|Ratkin|Wounded|1|all|SR_Wounded|BuiltInFallback|-
S1-empty|Off|Ratkin|Wounded|1|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Off|Ratkin|Wounded|2|all|SR_Wounded|BuiltInFallback|-
S1-empty|Off|Ratkin|Wounded|2|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Off|Ratkin|Wounded|3|all|SR_Wounded|BuiltInFallback|-
S1-empty|Off|Ratkin|Wounded|3|partial|SR_Wounded|BuiltInFallback|-
S1-empty|Off|Ratkin|Select|1|all|SR_Select|BuiltInFallback|-
S1-empty|Off|Ratkin|Select|1|partial|SR_Select|BuiltInFallback|-
S1-empty|Off|Ratkin|Select|2|all|SR_Select|BuiltInFallback|-
S1-empty|Off|Ratkin|Select|2|partial|SR_Select|BuiltInFallback|-
